seat_group,metric_x,metric_y,correlation
"non-economy class",inflight_entertainment,wifi_and_connectivity,0.8065718419633626
"non-economy class",seat_comfort,cabin_staff_service,0.676747755145287
"non-economy class",seat_comfort,food_and_beverages,0.6893942701300997
"non-economy class",seat_comfort,ground_service,0.6852115433521492
"non-economy class",seat_comfort,inflight_entertainment,0.7069346382463493
"non-economy class",seat_comfort,seat_comfort,1
"non-economy class",seat_comfort,value_for_money,0.7460865116464438
"non-economy class",seat_comfort,wifi_and_connectivity,0.6359736360908406
"non-economy class",value_for_money,cabin_staff_service,0.7152442943364923
"non-economy class",value_for_money,food_and_beverages,0.7869239789953645
"non-economy class",value_for_money,ground_service,0.7774478047179607
"non-economy class",value_for_money,inflight_entertainment,0.6936090698383564
"non-economy class",value_for_money,seat_comfort,0.7460865116464438
"non-economy class",value_for_money,value_for_money,1
"non-economy class",value_for_money,wifi_and_connectivity,0.6869484399069001
"non-economy class",wifi_and_connectivity,cabin_staff_service,0.5945007473857323
"non-economy class",wifi_and_connectivity,food_and_beverages,0.6720443160080384
"non-economy class",wifi_and_connectivity,ground_service,0.6270643765529738
"non-economy class",wifi_and_connectivity,inflight_entertainment,0.8065718419633626
"non-economy class",wifi_and_connectivity,seat_comfort,0.6359736360908406
"non-economy class",wifi_and_connectivity,value_for_money,0.6869484399069001
"non-economy class",wifi_and_connectivity,wifi_and_connectivity,1
